Номер_балки h b d t Площадь_сечения Масса I_x W_x i_x S_x I_y W_y i_y 
5 50 32 4.4 7.0 6.16 4.84 22.8 9.1 1.92 5.59 5.61 2.75 0.954 1.16
6.5 65 36 4.4 7.2 7.51 5.90 48.6 15.0 2.54 9.00 8.70 3.68 1.080 1.24
8 80 40 4.5 7.4 8.98 7.05 89.4 22.4 3.16 13.30 12.80 4.75 1.190 1.31
10 100 46 4.5 7.6 10.90 8.59 174.0 34.8 3.99 20.4 20.4 6.46 1.37 1.44
12 120 52 4.8 7.8 13.30 10.40 304.0 50.6 4.78 29.6 31.2 8.52 1.53 1.54
14 140 58 4.9 8.1 15.60 12.30 491.0 70.2 5.60 40.8 45.4 11.00 1.70 1.67
14a 140 62 4.9 8.7 17.00 13.30 545.0 77.8 5.66 45.1 57.5 13.30 1.84 1.87
16 160 64 5.0 8.4 18.10 14.20 747.0 93.4 6.42 54.10 63.3 13.80 1.87 1.80
16a 160 68 5.0 9.0 19.50 15.30 823.0 103.0 6.49 59.4 78.8 16.40 2.01 2.00
18 180 70 5.1 9.7 20.70 16.30 1090.0 121.0 7.24 69.8 86.0 17.00 2.04 1.94
18a 180 74 5.1 9.3 22.20 17.40 1190.0 132.0 7.32 76.1 105.0 20.00 2.18 2.13
20 200 76 5.2 9.0 23.40 18.40 1520.0 152.0 8.07 87.80 113.0 20.50 2.20 2.07
20a 200 80 5.2 9.7 25.20 19.80 1670.0 167.0 8.15 95.9 139.0 24.20 2.35 2.28
22 220 82 5.4 9.5 26.70 21.00 2110.0 192.0 8.89 110.0 151.0 25.10 2.37 2.21
22a 220 87 5.4 10.2 28.80 22.60 2330.0 212.0 8.99 121.0 187.0 30.00 2.55 2.46
24 240 90 5.6 10.0 30.60 24.00 2900.0 242.0 9.73 139.0 208.0 31.60 2.60 2.42
24a 240 95 5.6 10.7 32.90 25.80 3180.0 265.0 9.84 151.0 254.0 37.20 2.79 2.67
27 270 95 6.0 10.5 35.20 27.70 4160.0 308.0 10.90 178.0 262.0 37.30 2.73 2.47
30 300 100 6.5 11.0 40.50 31.80 5810.0 387.0 12.00 224.0 327.0 43.60 2.84 2.52
33 330 105 7.0 11.7 46.50 36.50 7980.0 484.0 13.10 281.0 410.0 51.80 2.97 2.59
36 360 110 7.5 12.6 53.40 41.90 10820.0 601.0 14.20 350.0 513.0 61.70 3.10 2.68
40 400 115 8.0 13.5 61.50 48.30 15220.0 761.0 15.70 444.0 642.0 73.40 3.23 2.75
