Номер_балки h b d t Площадь_сечения Масса I_x W_x i_x S_x I_y W_y i_y 
10 100 55 4.5 7.2 12.0 9.46 198 39.7 4.06 23.0 17.9 6.49 1.22
12 120 64 4.8 7.3 14.7 11.50 350 58.4 4.88 33.7 27.9 8.72 1.38
14 140 73 4.9 7.5 17.4 13.70 572 81.7 5.73 46.8 41.9 11.50 1.55
16 160 81 5.0 7.8 20.2 15.90 873 109.0 6.57 62.3 58.6 14.50 1.70
18 180 90 5.1 8.1 23.4 18.40 1290 143.0 7.42 81.4 82.6 18.40 1.88
18a 180 100 5.1 8.3 25.4 19.90 1430 159.0 7.51 89.8 114.0 22.80 2.12
20 200 100 5.2 8.4 26.8 21.00 1840 184.0 8.28 104.0 115.0 23.10 2.07
20a 200 110 5.2 8.6 28.9 22.70 2030 203.0 8.37 114.0 155.0 28.20 2.32
22 220 110 5.4 8.7 30.6 24.00 2550 232.0 9.13 131.0 157.0 28.60 2.27 
22a 220 120 5.4 8.9 32.8 25.80 2790 254.0 9.22 143.0 206.0 34.30 2.50 
24 240 115 5.6 9.5 34.8 27.30 3460 289.0 9.97 163.0 198.0 34.50 2.37 
24a 240 125 5.6 9.8 37.5 29.40 3800 317.0 10.10 178.0 260.0 41.60 2.63 
27 270 125 6.0 9.8 40.2 31.50 5010 371.0 11.20 210.0 260.0 41.50 2.54 
27a 270 135 6.0 10.2 43.2 33.90 5500 407.0 11.30 229.0 337.0 50.00 2.80 
30 300 135 6.5 10.7 46.5 36.50 7080 472.0 12.30 268.0 337.0 49.90 2.69 
30a 300 145 6.5 10.7 49.9 39.20 7780 518.0 12.50 292.0 436.0 60.10 2.95 
33 330 140 7.0 11.2 53.8 42.20 9840 597.0 13.50 339.0 419.0 59.90 2.79 
36 360 145 7.5 12.3 61.9 48.60 13380 743.0 14.70 423.0 516.0 71.10 2.98 
40 400 155 8.3 13.0 72.6 57.00 19062 953.0 16.20 545.0 667.0 86.10 3.03 
45 450 160 9.0 14.2 84.7 66.50 27696 1231.0 18.10 708.0 808.0 101.00 3.09 
50 500 170 10.0 15.2 100.0 78.50 39727 1589.0 19.90 919.0 1043.0 123.00 3.23 
55 550 180 11.0 16.5 118.0 92.60 55962 2035.0 21.80 1181.0 1356.0 151.00 3.39 
60 600 190 12.0 17.8 138.0 108.00 76806 2560.0 23.60 1491.0 1725.0 182.00 3.54 
65 650 200 12.0 19.2 153.0 120.00 101400 3120.0 25.8 1800.0 2170.0 217.00 3.77 
70 700 210 13.0 20.8 176.0 138.00 134600 3840.0 27.7 2230.0 2730.0 260.00 3.94 
70a 700 210 15.0 24.0 202.0 158.00 152700 4360.0 27.5 2550.0 3240.0 309.00 4.01 
70b 700 210 17.5 28.2 234.0 184.00 175370 5010.0 27.4 2940.0 3910.0 373.00 4.09 
